gender,age,height,weight
여,41,1495,50.1
여,47,1543,60.2
여,16,1594,45.2
여,46,1574,57.1
여,33,1616,54.4
여,41,1725,61.4
여,18,1693,65.1
여,26,1585,61.3
여,19,1563,57.8
여,19,1594,61.4
여,48,1680,58.2
여,47,1598,68.7
여,37,1534,58.4
여,17,1564,61
여,17,1621,72
여,46,1568,47.7
여,66,1479,68.2
여,45,1580,62.5
여,67,1530,58.7
여,46,1560,65.2
여,55,1527,57.6
여,38,1606,69.4
여,27,1525,57.5
여,36,1533,56
여,18,1578,49.8
여,18,1504,54.8
여,18,1594,49.8
여,63,1595,64.9
여,33,1532,47.1
여,46,1635,64.9
여,21,1690,86.6
여,21,1703,69.8
여,20,1714,86.9
여,21,1562,59.6
여,34,1610,60.6
여,22,1631,50.5
여,49,1522,61.7
여,67,1516,51.2
여,18,1625,49.1
여,18,1619,48.4
여,21,1638,56.6
여,60,1547,53.6
여,17,1525,59.7
여,17,1604,62.1
여,20,1584,58.2
여,18,1560,53.3
여,18,1660,54.8
여,57,1606,73.8
여,53,1553,44.6
여,37,1581,51.9
여,36,1605,64.8
여,17,1641,51.8
여,32,1610,63.2
여,67,1511,51.4
여,16,1539,49
여,16,1604,53.2
여,47,1555,59.9
여,30,1520,47.1
여,31,1600,53.4
여,25,1685,57.4
여,48,1560,64.4
여,19,1634,50.2
여,23,1621,61.6
여,35,1575,55
여,48,1563,61.8
여,18,1606,55.1
여,20,1580,49.6
여,46,1506,62.8
여,36,1683,55.8
여,50,1557,62.6
여,19,1600,66.2
여,41,1527,55.8
여,18,1541,55.6
여,18,1577,62.4
여,38,1510,86
여,43,1640,65.1
여,18,1750,71
여,18,1546,42.7
여,17,1570,57.3
여,17,1695,63.4
여,69,1551,57.9
여,24,1648,87
남,42,1769,77.7
남,42,1606,61.1
남,16,1780,63.5
남,18,1670,60.9
남,17,1639,58
남,19,1790,72
남,17,1722,71.4
남,19,1760,85.1
남,61,1681,83.1
남,41,1743,82.8
남,46,1690,72.9
남,45,1645,65
남,17,1763,62.5
남,18,1741,82.9
남,34,1724,79
남,42,1654,63.7
남,18,1719,68
남,18,1703,57.3
남,18,1649,53.7
남,18,1605,83.5
남,25,1705,57.9
남,18,1662,65.2
남,38,1800,97.4
남,42,1653,68.2
남,16,1691,56.7
남,16,1715,52.6
남,17,1710,64.4
남,18,1690,50.4
남,18,1829,87.7
남,21,1704,69.2
남,19,1781,60.1
남,17,1728,70
남,26,1816,81.8
남,53,1706,73.7
남,53,1645,63.6
남,25,1675,78.5
남,16,1736,59.1
남,18,1678,55.8
남,18,1675,81.1
남,26,1739,76.4
남,56,1747,64.3
남,48,1732,82.9
남,23,1725,67.4
남,24,1753,78.9
남,53,1613,55.7
남,20,1694,56.6
남,18,1806,56.8
남,17,1736,74.8
남,28,1667,67.5
남,23,1786,83
남,29,1743,111.1
남,18,1741,75.3
남,18,1724,76
남,18,1823,57.8
남,54,1729,77.6
남,45,1678,89.1
남,24,1720,74.8
남,24,1750,65.9
남,69,1654,56.5
남,37,1705,70.1
남,18,1694,52.8
남,24,1753,92.2
남,17,1754,60.9
남,32,1756,65.4
남,60,1680,67.5
남,18,1777,68.5
남,18,1643,82.4
남,18,1717,60.2
남,47,1658,65.1
남,47,1796,71.7
남,19,1733,68
남,19,1695,64.9
남,19,1720,69.7
남,48,1702,73
남,39,1665,69.1
남,30,1720,70.7
남,17,1735,64.3
남,17,1762,58.4
남,49,1673,62.2
남,45,1630,60.1
남,44,1671,82.8
남,44,1750,61.7
남,26,1677,114.6
남,55,1675,67.3
남,37,1745,82.4
남,42,1711,82
남,19,1819,87.3
남,34,1722,63
남,51,1666,60.7
남,21,1755,60.9
남,32,1745,93.5
남,47,1655,78.4
남,66,1651,63.1
남,45,1788,92.4
남,50,1585,59.8
남,59,1734,64.3
남,40,1748,92.8
남,63,1682,61.9
남,34,1680,55.6
남,34,1715,78.7
남,18,1715,62.6
남,27,1701,60.2
남,47,1782,91.8
남,19,1781,91.8
남,18,1745,57.2
남,18,1718,52.8
남,25,1804,72.6
남,36,1695,65
남,19,1709,64
남,18,1739,67.8
여,20,1575,58.7
여,18,1625,48.7
여,24,1575,49.4
여,18,1595,59.5
여,18,1544,50.9
여,18,1570,47.6
여,17,1545,50.8
여,17,1604,47.5
여,32,1653,57.2
여,21,1605,56.7
여,61,1473,62.1
여,54,1580,70.4
여,43,1459,42.6
여,18,1652,59.7
여,17,1660,68.6
여,25,1607,55.1
여,31,1558,51.1
여,21,1618,55.1
여,37,1616,49
여,21,1500,42.5
여,18,1584,51
여,18,1619,47.5
여,49,1594,72.8
여,34,1509,63.6
여,30,1697,57.5
여,17,1595,53.3
여,24,1632,53.7
여,20,1612,47.3
여,20,1539,40.8
여,21,1581,53.4
여,18,1588,51.7
여,17,1655,61.3
여,19,1575,66.7
여,42,1659,58.4
여,41,1544,57
여,27,1667,51.9
여,66,1456,49.8
여,17,1544,37.8
여,18,1617,57.8
여,18,1556,53.5
여,18,1550,48.1
여,18,1645,57.6
여,34,1609,50.2
여,20,1580,43.8
여,20,1540,59.4
여,26,1597,61.2
여,26,1605,59.9
여,17,1614,56.5
여,16,1648,48
여,22,1630,48.7
여,20,1606,49.7
여,19,1600,59.2
여,18,1662,63.9
여,18,1520,48.2
여,18,1593,64.4
여,21,1656,46.2
여,17,1720,54.9
여,16,1528,47.4
여,17,1620,61.8
여,18,1598,46.6
여,18,1561,56
여,18,1571,45.2
여,23,1715,70.6
여,16,1564,54.1
여,25,1637,55.4
여,20,1633,57.2
여,20,1633,55.8
여,20,1545,40.9
여,21,1666,66.2
여,19,1681,95.1
여,16,1650,62.3
여,16,1681,77.4
여,18,1509,45.5
여,17,1609,51.2
여,20,1633,55.3
여,18,1575,50.6
여,20,1710,73
여,20,1704,59.5
여,25,1644,53.4
여,16,1653,61.3
여,16,1688,60.9
여,16,1605,60.5
여,16,1603,55
여,21,1600,50.5
여,19,1594,49.3
여,20,1629,57.5
여,24,1725,63.8
남,26,1755,77.6
남,37,1675,67.6
남,53,1726,71.8
남,50,1730,67.7
남,16,1641,56.8
남,16,1714,59.2
남,16,1722,100.8
남,26,1744,71.3
남,43,1696,85
남,16,1786,97.8
남,18,1761,64.9
남,19,1750,77.9
남,23,1676,67.9
남,16,1655,45
남,16,1706,47.7
남,42,1729,62.9
남,18,1739,60
남,17,1745,68.8
남,18,1637,67.9
남,18,1808,62.6
남,18,1712,73.9
남,17,1720,63.1
남,64,1619,60.9
남,18,1695,76.2
남,18,1686,67.9
남,19,1739,96.4
남,26,1672,65.3
남,49,1693,67.5
남,17,1712,54.1
남,16,1706,75.9
남,17,1679,68.1
남,26,1704,71.9
남,39,1778,65.3
남,18,1733,73.1
남,60,1745,75.4
남,63,1633,61.4
남,19,1610,70
남,19,1752,75.1
남,18,1704,56.4
남,42,1715,68.4
남,19,1737,62.3
남,61,1671,67.5
남,32,1820,79.3
남,19,1684,57.6
남,55,1760,89.2
남,19,1671,65.4
남,19,1840,81.9
남,25,1728,64.9
남,16,1729,60.1
남,17,1656,60.5
남,16,1713,52.1
남,16,1700,71.2
남,17,1825,59.1
남,26,1768,70.6
남,17,1806,74
남,17,1675,70.7
남,47,1633,63.4
여,20,1654,62.6
여,24,1607,57.7
여,35,1685,52.7
여,30,1753,64.7
여,25,1645,48.4
여,34,1635,48.3
여,60,1510,56.7
여,23,1645,51.8
여,16,1641,54.9
여,27,1577,49
여,24,1545,42.2
여,65,1484,53.7
여,27,1600,83.4
여,28,1636,66.8
여,45,1631,52.9
여,55,1540,62.3
여,27,1595,63
여,22,1650,49.6
여,62,1493,57.6
여,57,1561,62.8
여,54,1599,61.9
여,17,1655,53.6
여,17,1724,60.5
여,19,1636,45.4
여,18,1728,97.5
여,62,1604,56.6
여,20,1595,46.4
여,61,1514,56.3
